date,ticker,name,close
2000-01-03,XLB,materials,7.228254318237305
2000-01-03,XLE,energy,6.6559157371521
2000-01-03,XLF,financials,11.090901374816895
2000-01-03,XLI,industrials,18.074867248535156
2000-01-03,XLK,technology,20.626386642456055
2000-01-03,XLP,consumer_staples,12.138825416564941
2000-01-03,XLU,utilities,5.513055801391602
2000-01-03,XLV,health_care,20.440750122070312
2000-01-03,XLY,consumer_discretionary,11.151034355163574
2000-01-04,XLB,materials,7.1586689949035645
2000-01-04,XLE,energy,6.530628681182861
2000-01-04,XLF,financials,10.606057167053223
2000-01-04,XLI,industrials,17.575511932373047
2000-01-04,XLK,technology,19.57994842529297
2000-01-04,XLP,consumer_staples,11.796996116638184
2000-01-04,XLU,utilities,5.3467535972595215
2000-01-04,XLV,health_care,19.976909637451172
2000-01-04,XLY,consumer_discretionary,10.815572738647461
2000-01-05,XLB,materials,7.454410076141357
2000-01-05,XLE,energy,6.702896595001221
2000-01-05,XLF,financials,10.522727966308594
2000-01-05,XLI,industrials,17.497180938720703
2000-01-05,XLK,technology,19.289278030395508
2000-01-05,XLP,consumer_staples,12.005428314208984
2000-01-05,XLU,utilities,5.481679439544678
2000-01-05,XLV,health_care,19.797700881958008
2000-01-05,XLY,consumer_discretionary,10.682550430297852
2000-01-06,XLB,materials,7.645774841308594
2000-01-06,XLE,energy,6.961307048797607
2000-01-06,XLF,financials,10.984840393066406
2000-01-06,XLI,industrials,17.732179641723633
2000-01-06,XLK,technology,18.649782180786133
2000-01-06,XLP,consumer_staples,12.230530738830566
2000-01-06,XLU,utilities,5.472264289855957
2000-01-06,XLV,health_care,19.86093521118164
2000-01-06,XLY,consumer_discretionary,10.804011344909668
2000-01-07,XLB,materials,7.6414265632629395
2000-01-07,XLE,energy,7.035696983337402
2000-01-07,XLF,financials,11.166657447814941
2000-01-07,XLI,industrials,18.407779693603516
2000-01-07,XLK,technology,18.975343704223633
2000-01-07,XLP,consumer_staples,13.005878448486328
2000-01-07,XLU,utilities,5.519331932067871
2000-01-07,XLV,health_care,20.103410720825195
2000-01-07,XLY,consumer_discretionary,11.312978744506836
2000-01-10,XLB,materials,7.6153340339660645
2000-01-10,XLE,energy,6.976966857910156
2000-01-10,XLF,financials,10.969688415527344
2000-01-10,XLI,industrials,18.407779693603516
2000-01-10,XLK,technology,19.696218490600586
2000-01-10,XLP,consumer_staples,12.714080810546875
2000-01-10,XLU,utilities,5.5381574630737305
2000-01-10,XLV,health_care,22.159067153930664
2000-01-10,XLY,consumer_discretionary,11.25513744354248
2000-01-11,XLB,materials,7.5240020751953125
2000-01-11,XLE,energy,6.98479700088501
2000-01-11,XLF,financials,10.787878036499023
2000-01-11,XLI,industrials,18.172786712646484
2000-01-11,XLK,technology,19.13813018798828
2000-01-11,XLP,consumer_staples,12.714080810546875
2000-01-11,XLU,utilities,5.47853946685791
2000-01-11,XLV,health_care,21.568721771240234
2000-01-11,XLY,consumer_discretionary,11.191515922546387
2000-01-12,XLB,materials,7.41526985168457
2000-01-12,XLE,energy,6.953477382659912
2000-01-12,XLF,financials,10.999995231628418
2000-01-12,XLI,industrials,17.957382202148438
2000-01-12,XLK,technology,19.056737899780273
2000-01-12,XLP,consumer_staples,12.780783653259277
2000-01-12,XLU,utilities,5.422059535980225
2000-01-12,XLV,health_care,21.210304260253906
2000-01-12,XLY,consumer_discretionary,11.127896308898926
2000-01-13,XLB,materials,7.445713520050049
2000-01-13,XLE,energy,7.074848175048828
2000-01-13,XLF,financials,11.333329200744629
2000-01-13,XLI,industrials,18.300071716308594
2000-01-13,XLK,technology,19.23114013671875
2000-01-13,XLP,consumer_staples,12.847476959228516
2000-01-13,XLU,utilities,5.371855735778809
2000-01-13,XLV,health_care,21.842817306518555
2000-01-13,XLY,consumer_discretionary,11.185733795166016
2000-01-14,XLB,materials,7.393523693084717
2000-01-14,XLE,energy,7.031784534454346
2000-01-14,XLF,financials,11.598481178283691
2000-01-14,XLI,industrials,18.172786712646484
2000-01-14,XLK,technology,19.672969818115234
2000-01-14,XLP,consumer_staples,12.88916301727295
2000-01-14,XLU,utilities,5.415786266326904
2000-01-14,XLV,health_care,21.653066635131836
2000-01-14,XLY,consumer_discretionary,11.156814575195312
2000-01-18,XLB,materials,7.215210914611816
2000-01-18,XLE,energy,7.117916107177734
2000-01-18,XLF,financials,11.212117195129395
2000-01-18,XLI,industrials,18.1532039642334
2000-01-18,XLK,technology,19.77760887145996
2000-01-18,XLP,consumer_staples,12.672391891479492
2000-01-18,XLU,utilities,5.393819332122803
2000-01-18,XLV,health_care,21.252473831176758
2000-01-18,XLY,consumer_discretionary,11.093192100524902
2000-01-19,XLB,materials,7.076043128967285
2000-01-19,XLE,energy,7.094422817230225
2000-01-19,XLF,financials,11.174234390258789
2000-01-19,XLI,industrials,18.09446144104004
2000-01-19,XLK,technology,19.812490463256836
2000-01-19,XLP,consumer_staples,12.7641019821167
2000-01-19,XLU,utilities,5.3969597816467285
2000-01-19,XLV,health_care,21.75848960876465
2000-01-19,XLY,consumer_discretionary,11.070062637329102
2000-01-20,XLB,materials,6.889023780822754
2000-01-20,XLE,energy,7.094422817230225
2000-01-20,XLF,financials,10.969688415527344
2000-01-20,XLI,industrials,17.97696876525879
2000-01-20,XLK,technology,19.92876434326172
2000-01-20,XLP,consumer_staples,12.589020729064941
2000-01-20,XLU,utilities,5.422059535980225
2000-01-20,XLV,health_care,21.589815139770508
2000-01-20,XLY,consumer_discretionary,10.919683456420898
2000-01-21,XLB,materials,6.919471740722656
2000-01-21,XLE,energy,7.290185451507568
2000-01-21,XLF,financials,10.833324432373047
2000-01-21,XLI,industrials,17.75175666809082
2000-01-21,XLK,technology,19.952014923095703
2000-01-21,XLP,consumer_staples,12.44729232788086
2000-01-21,XLU,utilities,5.597775936126709
2000-01-21,XLV,health_care,21.547651290893555
2000-01-21,XLY,consumer_discretionary,10.694120407104492
2000-01-24,XLB,materials,6.7368059158325195
2000-01-24,XLE,energy,7.031784534454346
2000-01-24,XLF,financials,10.636359214782715
2000-01-24,XLI,industrials,17.242610931396484
2000-01-24,XLK,technology,19.3009090423584
2000-01-24,XLP,consumer_staples,12.088801383972168
2000-01-24,XLU,utilities,5.522472381591797
2000-01-24,XLV,health_care,20.904590606689453
2000-01-24,XLY,consumer_discretionary,10.295042991638184
2000-01-25,XLB,materials,6.610680103302002
2000-01-25,XLE,energy,7.016115665435791
2000-01-25,XLF,financials,10.749998092651367
2000-01-25,XLI,industrials,17.14468765258789
2000-01-25,XLK,technology,19.713665008544922
2000-01-25,XLP,consumer_staples,11.938736915588379
2000-01-25,XLU,utilities,5.393819332122803
2000-01-25,XLV,health_care,21.05217933654785
2000-01-25,XLY,consumer_discretionary,10.358662605285645
2000-01-26,XLB,materials,6.610680103302002
2000-01-26,XLE,energy,6.906492710113525
2000-01-26,XLF,financials,11.151510238647461
2000-01-26,XLI,industrials,17.281770706176758
2000-01-26,XLK,technology,19.068361282348633
2000-01-26,XLP,consumer_staples,12.047118186950684
2000-01-26,XLU,utilities,5.368719577789307
2000-01-26,XLV,health_care,20.957298278808594
2000-01-26,XLY,consumer_discretionary,10.433839797973633
2000-01-27,XLB,materials,6.645472526550293
2000-01-27,XLE,energy,6.765542984008789
2000-01-27,XLF,financials,11.272719383239746
2000-01-27,XLI,industrials,17.379688262939453
2000-01-27,XLK,technology,18.8823299407959
2000-01-27,XLP,consumer_staples,12.272220611572266
2000-01-27,XLU,utilities,5.3342061042785645
2000-01-27,XLV,health_care,20.830799102783203
2000-01-27,XLY,consumer_discretionary,10.404932975769043
2000-01-28,XLB,materials,6.532395839691162
2000-01-28,XLE,energy,6.687239170074463
2000-01-28,XLF,financials,10.878780364990234
2000-01-28,XLI,industrials,16.919498443603516
2000-01-28,XLK,technology,18.207956314086914
2000-01-28,XLP,consumer_staples,12.172167778015137
2000-01-28,XLU,utilities,5.305962562561035
2000-01-28,XLV,health_care,20.409114837646484
2000-01-28,XLY,consumer_discretionary,9.99428653717041
2000-01-31,XLB,materials,6.493255138397217
2000-01-31,XLE,energy,6.843850135803223
2000-01-31,XLF,financials,11.18181037902832
2000-01-31,XLI,industrials,17.0369930267334
2000-01-31,XLK,technology,18.812564849853516
2000-01-31,XLP,consumer_staples,12.397275924682617
2000-01-31,XLU,utilities,5.550711154937744
2000-01-31,XLV,health_care,20.31423568725586
2000-01-31,XLY,consumer_discretionary,10.069478034973145
2000-02-01,XLB,materials,6.610680103302002
2000-02-01,XLE,energy,6.828190803527832
2000-02-01,XLF,financials,11.242419242858887
2000-02-01,XLI,industrials,16.919498443603516
2000-02-01,XLK,technology,19.207881927490234
2000-02-01,XLP,consumer_staples,12.272220611572266
2000-02-01,XLU,utilities,5.509917736053467
2000-02-01,XLV,health_care,20.577796936035156
2000-02-01,XLY,consumer_discretionary,10.433839797973633
2000-02-02,XLB,materials,6.6411261558532715
2000-02-02,XLE,energy,6.87125825881958
2000-02-02,XLF,financials,11.128785133361816
2000-02-02,XLI,industrials,16.929285049438477
2000-02-02,XLK,technology,19.347408294677734
2000-02-02,XLP,consumer_staples,12.297223091125488
2000-02-02,XLU,utilities,5.481679439544678
2000-02-02,XLV,health_care,21.083805084228516
2000-02-02,XLY,consumer_discretionary,10.364445686340332
2000-02-03,XLB,materials,6.528045177459717
2000-02-03,XLE,energy,6.789031982421875
2000-02-03,XLF,financials,11.060599327087402
2000-02-03,XLI,industrials,16.919498443603516
2000-02-03,XLK,technology,19.9055118560791
2000-02-03,XLP,consumer_staples,12.13047981262207
